battlefield,subdomain,context_id,standard_entropy,standard_mi_state,standard_mi_target,standard_fisher_trace,standard_rank,standard_qfi_trace,recoverability_defect,recoverability_alignment,compatibility_defect,compatibility_csr,tfcd,closure_defect,cco,ambiguity_lid,ambiguity_index,retained_energy,observability_rank,bayes_error,is_real_data,flow_monotone,verdict_good,compatibility_lift_ref
hidden_inference,sparc_rotation_curve,NGC1003_halo_only,2.230731984907654,1.8578335186679475,1.0000000000000002,360564.20715329854,2.0,,4.662221589073908,,0.4617386380686077,0.5382613619313923,0.0,,,0.0,6.240169119218297e-05,,,0.0,1,,1,0.1795772518664743
hidden_inference,sparc_rotation_curve,NGC1003_halo_plus_bary,2.230731984907654,1.5452573342860807,1.0,177053.84972827675,3.0,,3.8249926485154684,,0.3528585965508413,0.6471414034491587,0.0,,,0.0,0.0004043886230261953,,,0.0,1,,1,0.1795772518664743
hidden_inference,sparc_rotation_curve,NGC1090_halo_only,2.7049868557726664,1.1472026079429658,0.5433706389663935,433224.28881875606,2.0,,10.540108420098322,,0.526351635531317,0.47364836446868297,0.19791666666666669,,,0.0,6.845480295584377e-05,,,0.125,1,,0,0.12354264748156933
hidden_inference,sparc_rotation_curve,NGC1090_halo_plus_bary,2.7049868557726664,1.23926719370043,0.2799323507388798,154984.17729801033,3.0,,9.237955521136595,,0.7741146121176606,0.22588538788233933,0.3345238095238094,,,0.0,0.0013622158006872406,,,0.25,1,,0,0.12354264748156933
hidden_inference,sparc_rotation_curve,NGC2366_halo_only,1.7192945256669792,1.7439773550403928,1.0,36583.79923392109,2.0,,5.108735594988694,,0.4265980592524158,0.5734019407475842,0.0,,,0.0,0.001249330869167535,,,0.0,1,,1,0.18249378719995332
hidden_inference,sparc_rotation_curve,NGC2366_halo_plus_bary,1.7192945256669792,1.619165335892834,1.0,22113.754067625003,3.0,,4.1764230884560005,,0.38239784546240685,0.6176021545375932,0.0,,,0.0,0.0073193580257979755,,,0.0,1,,1,0.18249378719995332
hidden_inference,sparc_rotation_curve,NGC2403_halo_only,2.323279788545459,0.956909304131425,0.9998646331239296,1881251.6855731518,2.0,,3.9149108583425294,,0.0,1.0,0.0,,,0.0,7.449385476762991e-06,,,0.0,1,,1,-0.030718592479260554
hidden_inference,sparc_rotation_curve,NGC2403_halo_plus_bary,2.323279788545459,0.9829385442669062,0.9998646331239296,1491373.6450200886,3.0,,4.035171409592586,,0.0,1.0,0.0,,,0.0,5.407126466343008e-05,,,0.0,1,,1,-0.030718592479260554
hidden_inference,sparc_rotation_curve,NGC2841_halo_only,1.934280615255996,1.2861047607892835,0.6885025670045777,1202975.2820862844,2.0,,11.72302117128268,,0.46466058753872963,0.5353394124612704,0.13222222222222216,,,0.0,2.1321036440190378e-05,,,0.08,1,,0,0.37122350368422335
hidden_inference,sparc_rotation_curve,NGC2841_halo_plus_bary,1.934280615255996,1.5968515281764752,0.693276379080636,224389.59232480713,3.0,,7.3711601783147955,,0.5658479408712951,0.43415205912870497,0.1299145299145299,,,0.0,0.00031987319314277633,,,0.08,1,,0,0.37122350368422335
hidden_inference,sparc_rotation_curve,NGC2903_halo_only,2.5324403293892557,1.3351235694756125,0.23958773927086702,2265978.77276415,2.0,,17.925502745072638,,0.8205501387673291,0.17944986123267098,0.3622251931075461,,,0.0,1.725676594547975e-05,,,0.29411764705882354,1,,0,0.01788809544310865
hidden_inference,sparc_rotation_curve,NGC2903_halo_plus_bary,2.5324403293892557,1.4292116527914047,0.3793116750658752,1187936.283854518,3.0,,17.604849641103073,,0.7346007679653055,0.26539923203469445,0.28872549019607846,,,0.0,9.125538671348944e-05,,,0.23529411764705882,1,,0,0.01788809544310865
hidden_inference,sparc_rotation_curve,NGC2915_halo_only,2.596394837813508,1.6125987174706218,0.5402268698506826,20043.019244758834,2.0,,7.047287463267532,,0.6649960935737105,0.33500390642628947,0.20571428571428574,,,0.0,0.001250686836379735,,,0.13333333333333336,1,,0,-0.08234755905020978
hidden_inference,sparc_rotation_curve,NGC2915_halo_plus_bary,2.596394837813508,1.4956062173263909,0.5402268698506826,18008.975873192463,3.0,,7.627614383792758,,0.6387907033333847,0.3612092966666153,0.20571428571428574,,,0.0,0.006408914936564025,,,0.13333333333333336,1,,0,-0.08234755905020978
hidden_inference,sparc_rotation_curve,NGC2955_halo_only,2.160762106246821,1.4795739585136225,0.254161061254578,189984.3032678138,2.0,,13.276317977749326,,0.8282201036371931,0.17177989636280688,0.3472222222222222,,,0.0,8.577010798284311e-05,,,0.25,1,,0,0.06354595938935821
hidden_inference,sparc_rotation_curve,NGC2955_halo_plus_bary,2.160762106246821,1.7731315234143221,0.4329316468984662,30770.869572750533,3.0,,12.43266161469506,,0.7558378263645,0.2441621736354999,0.273611111111111,,,0.0,0.0012354760214097033,,,0.20833333333333331,1,,0,0.06354595938935821
hidden_inference,sparc_rotation_curve,NGC2976_halo_only,1.5677116575334584,1.2835193345205034,0.9990102708804813,18966.296072819536,2.0,,8.657521899192338,,0.2216632472827601,0.7783367527172399,0.0,,,0.0,0.016734421278058402,,,0.0,1,,0,0.606473336538303
hidden_inference,sparc_rotation_curve,NGC2976_halo_plus_bary,1.5677116575334584,0.8949924828289084,0.9990102708804811,1772.1551376001692,3.0,,3.406965706835735,,0.0,1.0,0.0,,,0.0,282.3183341767936,,,0.0,1,,1,0.606473336538303
hidden_inference,sparc_rotation_curve,NGC3109_halo_only,1.7924876891689534,1.582683189255492,0.9988455359952018,26693.636306924225,2.0,,5.478723994644626,,0.36889104352901647,0.6311089564709835,0.0,,,0.0,0.001210003362886955,,,0.0,1,,1,0.03538297558725058
hidden_inference,sparc_rotation_curve,NGC3109_halo_plus_bary,1.7924876891689534,1.27893806751816,0.9988455359952018,21805.7789249199,3.0,,5.284870437292831,,0.21900398356778228,0.7809960164322177,0.0,,,0.0,0.01331670902675971,,,0.0,1,,1,0.03538297558725058
hidden_inference,sparc_rotation_curve,NGC3198_halo_only,1.8162419016713476,1.5305396185471865,0.999609836367807,1081935.1860147056,2.0,,11.392265994770687,,0.3468905840433891,0.6531094159566109,0.0,,,0.0,1.5752418437105916e-05,,,0.0,1,,0,0.23138740004870106
hidden_inference,sparc_rotation_curve,NGC3198_halo_plus_bary,1.8162419016713476,1.3093147494750363,0.9996098363678072,471001.9072209369,3.0,,8.756239185577469,,0.23653969622766713,0.7634603037723329,0.0,,,0.0,0.00014159887739634812,,,0.0,1,,0,0.23138740004870106
hidden_inference,sparc_rotation_curve,NGC3521_halo_only,2.374168693779089,1.6803468336949214,0.36912031661648564,107524.54358662214,2.0,,5.959651608618403,,0.7803308762127248,0.2196691237872752,0.30352303523035223,,,0.0,0.00015395665918513198,,,0.24390243902439027,1,,1,0.21845958519834088
hidden_inference,sparc_rotation_curve,NGC3521_halo_plus_bary,2.374168693779089,1.4269234306324048,0.19523654596470147,14350.469529829787,3.0,,4.6577085902730015,,0.863176578523086,0.13682342147691393,0.3754742547425474,,,0.0,0.003780242983502512,,,0.29268292682926833,1,,1,0.21845958519834088
hidden_inference,sparc_rotation_curve,NGC3741_halo_only,1.4411665441579464,0.9368843828908318,0.9983636725938132,19265.478796624495,2.0,,1.4634437764443113,,0.0,1.0,0.0,,,0.0,0.0012778206944108923,,,0.0,1,,1,0.13685997946617512
hidden_inference,sparc_rotation_curve,NGC3741_halo_plus_bary,1.4411665441579464,0.8464017862293972,0.9983636725938129,14922.694617739913,3.0,,1.263156891250241,,0.0,1.0,0.0,,,0.0,0.007302636127022758,,,0.0,1,,1,0.13685997946617512
hidden_inference,sparc_rotation_curve,NGC3917_halo_only,1.5693078231812958,1.4333795777936482,0.9975025463691152,59448.09039582641,2.0,,10.40479948836486,,0.3040904434368066,0.6959095565631934,0.0,,,0.0,0.00042035172546965615,,,0.0,1,,0,0.37424310493846474
hidden_inference,sparc_rotation_curve,NGC3917_halo_plus_bary,1.5693078231812958,1.1980854601465896,0.9975025463691152,9999.325573645936,3.0,,6.5108750215770455,,0.1674195376287535,0.8325804623712465,0.0,,,0.0,0.006908676337707917,,,0.0,1,,0,0.37424310493846474
hidden_inference,sparc_rotation_curve,NGC4013_halo_only,1.9860535746331103,1.3657870726119694,0.600369514132848,364394.4627847925,2.0,,9.640839799798504,,0.5604223189895299,0.43957768101047007,0.19047619047619047,,,0.0,0.0001041346094994043,,,0.1388888888888889,1,,0,0.4130135648956274
