bridge_case_id,source_family_id,mechanism,pre_local_exact,pre_invariant_exact,post_local_exact,post_invariant_exact,pre_lifted_residual_norm,post_lifted_residual_norm,pre_free_aug_threshold,post_free_aug_threshold,pre_restricted_aug_threshold,post_restricted_aug_threshold,local_gain_shared_loss_flag,threshold_worsened_flag,threshold_improved_flag,notes
fdeep_12,ao_pair_6_good,intervention_cleaning,1,1,1,1,1.1234667099445443e-13,6.815865220825995e-14,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_13,ao_pair_6_bad,optimization_induced,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_14,ao_pair_7_good,context_conditioned_differentiation,1,1,0,0,6.610965610370932e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_15,ao_pair_7_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_16,ao_pair_8_good,context_drift,1,1,0,0,6.593162045009302e-13,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_17,ao_pair_8_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_18,ao_pair_9_good,optimization_induced,1,1,1,0,6.099723321163758e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_19,ao_pair_9_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_20,ao_pair_10_good,constraint_generation,1,1,1,1,1.7954390001041926e-13,2.1022640974459408e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_21,ao_pair_10_bad,context_drift,1,0,0,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_22,ao_pair_11_good,intervention_cleaning,1,1,1,1,8.774555507236292e-14,3.5608755448850576e-13,0,0,0,0,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_23,ao_pair_11_bad,optimization_induced,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_24,ao_pair_12_good,context_conditioned_differentiation,1,1,0,0,5.2725191607037763e-14,inf,0,2,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_25,ao_pair_12_bad,constraint_generation,1,0,1,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_26,ao_pair_13_good,context_drift,1,1,0,0,9.473162965870602e-14,inf,0,3,0,,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_27,ao_pair_13_bad,intervention_cleaning,1,0,1,0,inf,inf,3,3,,,0,0,0,EXPLORATION / NON-PROMOTED
fdeep_28,ao_pair_14_good,optimization_induced,1,1,1,0,2.8876045034225334e-14,inf,0,1,0,1,0,1,0,EXPLORATION / NON-PROMOTED
fdeep_29,ao_pair_14_bad,context_conditioned_differentiation,1,0,0,0,inf,inf,2,2,,,0,0,0,EXPLORATION / NON-PROMOTED
