witness_id,family,n,m_total,rank,total_info,descriptor_signature,local_exact,global_exact,dls,cid,psi,il,tsf,alignment,residual,rank_only_pred,budget_only_pred,target_class,notes
single_78,single_context,4,2,2,1.60943931,n4|m2|r2|i1.61,0,0,1.0,0.0,,,0.02667995,0.16333997,3.34664011,0,1,linear_scalar,
single_79,single_context,4,2,2,4.34380567,n4|m2|r2|i4.34,0,0,0.0,0.0,,,0.07967039,0.28225944,2.15322169,0,1,linear_scalar,
single_80,single_context,7,2,2,4.30406538,n7|m2|r2|i4.30,0,0,0.79310345,0.0,,,0.00012362,0.01111832,4.63826622,0,0,linear_scalar,
single_81,single_context,4,4,4,3.58352244,n4|m4|r4|i3.58,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_82,single_context,5,2,2,2.99573277,n5|m2|r2|i3.00,0,0,1.0,0.0,,,0.06003311,0.24501656,2.38746728,0,1,linear_scalar,
single_83,single_context,4,1,1,2.56494943,n4|m1|r1|i2.56,0,0,0.66666667,0.0,,,0.0,0.0,2.64575131,0,0,linear_scalar,
single_84,single_context,4,4,3,-6.86469546,n4|m4|r3|i-6.86,0,0,1.0,0.0,,,0.08578644,0.29289322,1.0,0,1,linear_scalar,
single_85,single_context,4,2,2,3.9889844,n4|m2|r2|i3.99,0,0,1.0,0.0,,,0.14354248,0.37887001,1.52145155,0,1,linear_scalar,
single_86,single_context,5,2,2,5.21493592,n5|m2|r2|i5.21,0,0,1.0,0.0,,,0.11727453,0.34245369,1.97263893,0,1,linear_scalar,
single_87,single_context,6,1,1,2.6390574,n6|m1|r1|i2.64,0,0,0.8358209,0.0,,,0.00020705,0.01438924,3.11677489,0,0,linear_scalar,
single_88,single_context,4,1,1,1.79175964,n4|m1|r1|i1.79,0,0,0.9,0.0,,,0.00079381,0.02817468,1.68325082,0,0,linear_scalar,
single_89,single_context,6,3,3,7.49387415,n6|m3|r3|i7.49,0,0,1.0,0.0,,,0.08151543,0.28550907,2.36969834,0,1,linear_scalar,
single_90,single_context,4,2,2,4.18965505,n4|m2|r2|i4.19,0,0,0.0,0.0,,,0.11995069,0.34633898,1.46163047,0,1,linear_scalar,
single_91,single_context,5,3,3,5.80814324,n5|m3|r3|i5.81,0,0,0.0,0.0,,,0.00212595,0.04610802,1.65218937,0,1,linear_scalar,
single_92,single_context,6,2,2,4.93447411,n6|m2|r2|i4.93,0,0,1.0,0.0,,,0.12144787,0.34849372,2.06024375,0,0,linear_scalar,
single_93,single_context,5,3,3,3.52636935,n5|m3|r3|i3.53,0,0,0.0,0.0,,,0.13557799,0.36820916,1.67156144,0,1,linear_scalar,
single_94,single_context,7,4,4,9.20341736,n7|m4|r4|i9.20,0,0,0.0,0.0,,,0.2434781,0.493435,2.02625999,0,1,linear_scalar,
single_95,single_context,4,1,1,1.94591029,n4|m1|r1|i1.95,0,0,1.0,0.0,,,0.02201347,0.14836937,3.07059789,0,0,linear_scalar,
single_96,single_context,5,3,3,6.91572378,n5|m3|r3|i6.92,0,0,0.0,0.0,,,0.56385608,0.75090351,0.8261596,0,1,linear_scalar,
single_97,single_context,5,2,2,4.65396056,n5|m2|r2|i4.65,0,0,1.0,0.0,,,0.29404839,0.54226229,1.44749373,0,1,linear_scalar,
single_98,single_context,7,1,1,2.48490673,n7|m1|r1|i2.48,0,0,0.83881579,0.0,,,0.00012485,0.01117354,3.82970843,0,0,linear_scalar,
single_99,single_context,7,2,2,5.14166375,n7|m2|r2|i5.14,0,0,0.72,0.0,,,0.14795603,0.38465053,2.13163309,0,0,linear_scalar,
single_100,single_context,4,3,3,5.95324386,n4|m3|r3|i5.95,0,0,0.0,0.0,,,0.94201681,0.97057551,0.10192944,0,1,linear_scalar,
single_101,single_context,4,4,4,7.22183681,n4|m4|r4|i7.22,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_102,single_context,4,4,4,6.51619502,n4|m4|r4|i6.52,1,1,0.0,0.0,,,1.0,1.0,0.0,1,1,linear_scalar,
single_103,single_context,6,1,1,2.56494943,n6|m1|r1|i2.56,0,0,0.88888889,0.0,,,0.00153908,0.03923108,2.88230677,0,0,linear_scalar,
single_104,single_context,6,3,3,6.71174081,n6|m3|r3|i6.71,0,0,1.0,0.0,,,0.00085459,0.02923334,3.63227624,0,1,linear_scalar,
single_105,single_context,5,1,1,1.60943811,n5|m1|r1|i1.61,0,0,0.89285714,0.0,,,0.00020705,0.01438924,2.60768096,0,0,linear_scalar,
single_106,single_context,4,1,1,1.79175964,n4|m1|r1|i1.79,0,0,0.8,0.0,,,0.07086277,0.26620061,2.64575131,0,0,linear_scalar,
single_107,single_context,4,2,2,3.5553484,n4|m2|r2|i3.56,0,0,1.0,0.0,,,0.05080666,0.22540333,0.77459667,0,1,linear_scalar,
single_108,single_context,6,3,3,3.82864429,n6|m3|r3|i3.83,0,0,0.9,0.0,,,0.01254481,0.11200363,2.94515077,0,1,linear_scalar,
single_109,single_context,5,2,2,3.40119781,n5|m2|r2|i3.40,0,0,0.75,0.0,,,0.26515162,0.51492875,2.0,0,1,linear_scalar,
single_110,single_context,6,3,3,6.21860085,n6|m3|r3|i6.22,0,0,1.0,0.0,,,0.48316976,0.69510414,1.05619025,0,1,linear_scalar,
single_111,single_context,5,4,4,7.32580831,n5|m4|r4|i7.33,0,0,0.0,0.0,,,0.76375177,0.87392893,0.3335527,0,1,linear_scalar,
single_112,single_context,7,1,1,2.56494943,n7|m1|r1|i2.56,0,0,0.75686275,0.0,,,0.00033811,0.01838768,4.27874892,0,0,linear_scalar,
