series_id,family,step,n,m_total,rank,exact,dls,alignment,flip_vs_prev,driver
single_thr_95,single_context,1,4,2,2,0,1.0,0.76192404,0,one_measurement_augmentation
single_thr_95,single_context,2,4,3,3,0,0.0,0.84933941,0,one_measurement_augmentation
single_thr_95,single_context,3,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_96,single_context,1,5,4,4,0,0.0,0.76126412,0,one_measurement_augmentation
single_thr_96,single_context,2,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_96,single_context,3,5,6,5,1,0.0,1.0,0,one_measurement_augmentation
single_thr_97,single_context,1,5,3,3,0,1.0,0.84188612,0,one_measurement_augmentation
single_thr_97,single_context,2,5,4,4,0,0.0,0.94654775,0,one_measurement_augmentation
single_thr_97,single_context,3,5,5,5,1,0.0,1.0,1,one_measurement_augmentation
single_thr_98,single_context,1,7,2,2,0,0.46969697,0.08401725,0,one_measurement_augmentation
single_thr_98,single_context,2,7,3,3,0,0.0,0.14525481,0,one_measurement_augmentation
single_thr_98,single_context,3,7,4,4,0,0.0,0.50732438,0,one_measurement_augmentation
single_thr_99,single_context,1,7,3,3,0,0.0,0.39994924,0,one_measurement_augmentation
single_thr_99,single_context,2,7,4,4,0,0.0,0.47732794,0,one_measurement_augmentation
single_thr_99,single_context,3,7,5,5,0,0.0,0.73345301,0,one_measurement_augmentation
single_thr_100,single_context,1,4,4,4,1,0.0,1.0,1,one_measurement_augmentation
single_thr_100,single_context,2,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_100,single_context,3,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_101,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_101,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_101,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_102,single_context,1,4,5,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_102,single_context,2,4,6,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_102,single_context,3,4,7,4,1,0.0,1.0,0,one_measurement_augmentation
single_thr_103,single_context,1,6,2,2,0,1.0,0.04102314,0,one_measurement_augmentation
single_thr_103,single_context,2,6,3,3,0,1.0,0.07324431,0,one_measurement_augmentation
single_thr_103,single_context,3,6,4,4,0,0.0,0.08905395,0,one_measurement_augmentation
single_thr_104,single_context,1,6,4,4,0,0.0,0.03722932,0,one_measurement_augmentation
single_thr_104,single_context,2,6,5,5,0,0.0,0.40320187,0,one_measurement_augmentation
single_thr_104,single_context,3,6,6,6,1,0.0,1.0,1,one_measurement_augmentation
single_thr_105,single_context,1,5,2,2,0,1.0,0.18350342,0,one_measurement_augmentation
single_thr_105,single_context,2,5,3,3,0,0.0,0.22576504,0,one_measurement_augmentation
